index,predicted_value,actual_value
1155.0,36.0806157407,69.8916666667
1156.0,44.3597025463,44.8458333333
1157.0,42.2773721065,34.125
1158.0,34.0641556713,29.1416666667
1159.0,47.7499103009,22.4208333333
1160.0,25.3678524306,8.525
1161.0,19.1412083333,20.5916666667
1162.0,23.8311388889,20.7958333333
1163.0,25.6211458333,58.9833333333
1164.0,37.0319930556,36.8083333333
1165.0,32.9521701389,38.5375
1166.0,26.0644340278,21.7333333333
1167.0,40.6698576389,20.025
1168.0,20.6446666667,10.3958333333
1169.0,23.725875,25.5875
1170.0,24.914125,29.65
1171.0,32.9426006944,36.9625
1172.0,26.1426788194,30.5916666667
1173.0,38.8363229167,37.6458333333
1174.0,31.5320653935,25.05
1175.0,36.7624230324,18.0541666667
1176.0,20.7964930556,17.6916666667
1177.0,22.9882916667,29.6833333333
1178.0,29.6721689815,17.4666666667
1179.0,27.1240694444,32.0541666667
1180.0,25.1481574074,12.8583333333
1181.0,30.1132048611,14.6875
1182.0,14.5619409722,13.8416666667
1183.0,21.5890798611,14.7166666667
1184.0,13.4941736111,9.625
1185.0,15.8684930556,10.9333333333
1186.0,13.6788055556,12.4291666667
1187.0,16.7962777778,26.6583333333
1188.0,21.9663611111,13.4375
1189.0,16.9531493056,25.1166666667
1190.0,23.0933298611,21.0625
1191.0,34.4079270833,32.4916666667
1192.0,24.616552662,8.20416666667
1193.0,23.5291145833,20.7875
1194.0,18.4188020833,26.15
1195.0,38.8455873843,43.625
1196.0,19.31571875,38.6833333333
1197.0,25.3279554398,51.8916666667
1198.0,36.3540028935,28.275
1199.0,34.1141458333,53.9708333333
1200.0,33.9903923611,37.2
1201.0,33.4294021991,43.0291666667
1202.0,29.2166655093,35.875
1203.0,39.6091082176,45.1958333333
1204.0,29.631609375,40.7958333333
1205.0,38.3452517361,44.2291666667
1206.0,30.3645324074,33.1
1207.0,42.4155063657,69.5166666667
1208.0,41.5868587963,40.8625
1209.0,34.5815393519,30.3166666667
1210.0,25.8759236111,21.975
1211.0,35.0328645833,41.9916666667
1212.0,30.8252361111,24.9541666667
1213.0,34.4023188657,23.7958333333
1214.0,21.8310225694,22.125
1215.0,36.8158217593,40.8666666667
1216.0,33.3453715278,26.5125
1217.0,35.6664351852,37.4083333333
1218.0,24.6815277778,38.8125
1219.0,46.5528842593,41.2541666667
1220.0,31.2792881944,20.4791666667
1221.0,29.0269097222,28.9208333333
1222.0,28.3393304398,29.4333333333
1223.0,43.4588993056,17.6416666667
1224.0,20.4541944444,7.02083333333
1225.0,20.6030555556,18.5875
1226.0,20.6451388889,24.1958333333
1227.0,23.1151006944,30.3666666667
1228.0,17.4907326389,19.7333333333
1229.0,25.16990625,25.2416666667
1230.0,31.0044965278,23.2458333333
1231.0,39.041625,26.575
1232.0,20.8168194444,33.025
1233.0,35.924375,27.6333333333
1234.0,32.4304675926,22.2416666667
1235.0,34.8170069444,15.7291666667
1236.0,19.4236840278,13.7416666667
1237.0,23.1780659722,31.85
1238.0,30.9758570602,21.9541666667
1239.0,21.0039253472,39.275
1240.0,21.711765625,18.2208333333
1241.0,33.9863090278,13.0166666667
1242.0,16.9581284722,20.8125
1243.0,24.583791088,39.8166666667
1244.0,29.3822881944,21.725
1245.0,18.9807673611,38.2791666667
1246.0,21.4952482639,32.5166666667
1247.0,39.2289918981,33.0208333333
1248.0,24.4479016204,14.5958333333
1249.0,26.9829270833,30.3708333333
1250.0,27.5291417824,30.9625
1251.0,34.359240162,48.5333333333
1252.0,23.2742847222,18.9708333333
1253.0,31.4386527778,30.3166666667
1254.0,28.27984375,33.8458333333
1255.0,40.6202407407,49.6875
1256.0,26.4178859954,30.5291666667
1257.0,34.4515034722,37.4458333333
1258.0,28.397931713,37.6875
1259.0,40.5438605324,30.3458333333
1260.0,26.4716429398,17.5875
1261.0,27.1616006944,30.1541666667
1262.0,28.4805393519,32.8875
1263.0,38.9430572917,27.6833333333
1264.0,19.8170601852,24.6666666667
1265.0,35.9821342593,25.775
1266.0,30.8202708333,36.5291666667
1267.0,35.9694305556,46.475
1268.0,30.5537112269,34.4666666667
1269.0,31.8945960648,23.3416666667
1270.0,28.2690491898,21.4625
1271.0,28.61428125,21.9083333333
1272.0,24.9788784722,9.525
1273.0,20.4283715278,18.3125
1274.0,18.9988993056,16.8
1275.0,20.0496597222,18.0708333333
1276.0,13.6763472222,6.62083333333
1277.0,16.6136180556,16.2680555556
1278.0,18.3168715278,25.9152777778
1279.0,29.9284097222,35.5625
1280.0,29.677875,36.7416666667
1281.0,28.25278125,34.2791666667
1282.0,35.0726990741,33.4791666667
1283.0,38.7227303241,53.2916666667
1284.0,37.7180306713,39.5833333333
1285.0,30.7535833333,46.6125
1286.0,33.9701221065,50.6875
1287.0,39.2296371528,48.4125
1288.0,31.1853645833,39.5541666667
1289.0,29.4592737269,39.7958333333
1290.0,31.5263362269,46.375
1291.0,36.1455671296,51.0666666667
1292.0,31.1383483796,47.0791666667
1293.0,32.4170653935,41.45
1294.0,32.0765740741,32.7291666667
1295.0,38.4013298611,26.975
1296.0,28.3798015046,18.8083333333
1297.0,28.6924791667,19.2875
1298.0,21.78046875,24.9833333333
1299.0,34.8960208333,31.5166666667
1300.0,28.9324965278,15.0916666667
1301.0,25.9797291667,30.0833333333
1302.0,31.5256944444,33.0958333333
1303.0,35.2325445602,43.65
1304.0,24.8103854167,33.6166666667
1305.0,32.9334849537,43.9833333333
1306.0,30.4530694444,36.2666666667
1307.0,38.7835271991,43.4375
1308.0,31.1370844907,32.5166666667
1309.0,35.9097372685,35.9083333333
1310.0,31.3568622685,27.5291666667
1311.0,33.104337963,26.4666666667
1312.0,24.3983709491,15.9125
1313.0,27.1711180556,20.675
1314.0,24.1925277778,26.1875
1315.0,33.6033472222,25.5416666667
1316.0,18.1291730324,19.7291666667
1317.0,25.4390625,38.0416666667
1318.0,30.8772743056,33.2541666667
1319.0,35.6899930556,44.6375
1320.0,25.2045833333,26.3541666667
1321.0,32.514287037,26.2458333333
1322.0,27.4700625,32.925
1323.0,39.9202141204,25.8541666667
1324.0,31.801724537,16.7041666667
1325.0,26.1294097222,13.4958333333
1326.0,19.9507916667,19.4791666667
1327.0,19.5812777778,17.85
1328.0,17.1831145833,6.54583333333
1329.0,16.1745555556,27.5458333333
