index,predicted_value,actual_value
1164.0,44.9001018519,46.7166666667
1165.0,32.2877222222,32.4
1166.0,47.9717083333,70.25
1167.0,34.9409074074,41.2402777778
1168.0,42.3726064759,32.2958333333
1169.0,28.3628425926,27.3083333333
1170.0,33.7097546296,27.1791666667
1171.0,29.8618518519,10.0319444444
1172.0,23.2104490741,24.9083333333
1173.0,29.363337963,25.2916666667
1174.0,34.5041157407,65.8958333333
1175.0,40.9410740741,39.7680555556
1176.0,42.2951728006,41.0125
1177.0,25.9598410494,26.5291666667
1178.0,42.3866574019,32.9958333333
1179.0,29.6581574074,26.0402777778
1180.0,32.6409814815,30.875
1181.0,29.9411111111,30.1625
1182.0,34.5285092593,50.6583333333
1183.0,38.846875,46.4805555556
1184.0,35.32775,41.7708333333
1185.0,30.2675617228,26.9833333333
1186.0,31.5105648148,24.4791666667
1187.0,25.0233425926,18.4625
1188.0,31.7918703704,31.6666666667
1189.0,32.8820833333,23.1
1190.0,34.9932037037,45.4291666667
1191.0,32.8169305556,20.0152777778
1192.0,37.0790046296,18.8958333333
1193.0,18.1276481481,18.4208333333
1194.0,23.4218981481,16.4666666667
1195.0,14.9446820988,9.34583333333
1196.0,17.2759182099,12.8916666667
1197.0,17.4868996914,13.9041666667
1198.0,19.6579166667,23.85
1199.0,15.2904629657,12.5875
1200.0,21.0552685185,25.475
1201.0,24.5460833361,24.3583333333
1202.0,37.2383148148,32.8041666667
1203.0,19.2624807099,13.0319444444
1204.0,28.1185648148,28.4
1205.0,32.2974236111,32.3541666667
1206.0,38.9086157407,41.9583333333
1207.0,20.8754953704,39.1777777778
1208.0,41.9485508259,62.3666666667
1209.0,43.423143513,26.6416666667
1210.0,47.0683425926,49.3208333333
1211.0,39.6649490741,32.3333333333
1212.0,47.5955740741,40.325
1213.0,26.0025138889,31.6375
1214.0,40.8906666444,49.7458333333
1215.0,32.8024675926,38.2888888889
1216.0,41.8374722056,42.9041666667
1217.0,29.9871203704,29.7333333333
1218.0,36.3474814815,66.7208333333
1219.0,44.4441481481,37.8444444444
1220.0,44.2041944333,27.1166666667
1221.0,20.1806990741,6.725
1222.0,31.2896342593,32.2458333333
1223.0,34.9642638889,11.5305555556
1224.0,25.7686296296,14.8958333333
1225.0,14.3125925926,16.6333333333
1226.0,36.1329212963,31.5958333333
1227.0,23.4975393519,29.6611111111
1228.0,31.8522716049,41.2083333333
1229.0,26.2449274691,45.7958333333
1230.0,43.9227360778,46.7875
1231.0,32.8085833333,33.0625
1232.0,43.3992916667,33.3291666667
1233.0,38.4845416667,25.55
1234.0,32.7775555556,8.86111111111
1235.0,25.0484814815,9.93055555556
1236.0,15.8472762346,11.0
1237.0,19.8136635802,11.6541666667
1238.0,6.58863194444,17.8083333333
1239.0,18.3698796699,7.79444444444
1240.0,13.6449212963,26.1541666667
1241.0,23.8081481481,13.3791666667
1242.0,30.0008564815,30.1291666667
1243.0,25.4392893519,17.5458333333
1244.0,33.7126666667,31.075
1245.0,20.3503263889,13.0875
1246.0,27.6765,5.81388888889
1247.0,12.7733796296,15.5611111111
1248.0,24.5750277778,25.3083333333
1249.0,24.6269189815,11.2875
1250.0,7.62918518519,27.7708333333
1251.0,35.0978425926,6.66666666667
1252.0,27.6773194444,3.2125
1253.0,11.2371612654,9.64444444444
1254.0,18.2189722222,29.6916666667
1255.0,30.7239282421,9.3
1256.0,9.69911574074,31.4041666667
1257.0,30.8602268519,16.2791666667
1258.0,30.1982453704,17.8791666667
1259.0,13.5736064829,1.87638888889
1260.0,38.9811813272,27.35
1261.0,25.4778595679,28.5041666667
1262.0,36.2585,43.5166666667
1263.0,38.3188055556,14.2722222222
1264.0,36.8468657407,29.1291666667
1265.0,30.517275463,37.2333333333
1266.0,45.1910046019,61.6916666667
1267.0,35.7908564815,35.0652777778
1268.0,38.4755277778,41.9958333333
1269.0,37.3404120093,39.0916666667
1270.0,50.0709722,31.1791666667
1271.0,31.1342037037,19.7125
1272.0,32.0612222222,37.1416666667
1273.0,37.092537037,43.1333333333
1274.0,42.2826296296,40.2041666667
1275.0,27.6193564815,30.95
1276.0,40.3843934852,33.775
1277.0,37.2228101852,45.0541666667
1278.0,41.9724768519,55.8458333333
1279.0,43.2358287037,40.9972222222
1280.0,32.4098734568,28.3833333333
1281.0,28.5878518519,25.7541666667
1282.0,28.2057222222,29.875
1283.0,29.5656018519,12.0722222222
1284.0,20.2091712963,25.6125
1285.0,29.014775463,22.7041666667
1286.0,31.9507222222,24.8416666667
1287.0,14.6299907407,11.4486111111
1288.0,29.424287037,25.5375
1289.0,22.3538449074,36.4666666667
1290.0,33.5130138889,46.5583333333
1291.0,26.4474351852,43.6930555556
1292.0,36.580490713,38.6125
1293.0,36.3953178957,35.7875
1294.0,34.4288518407,61.0375
1295.0,44.9119074074,48.7638888889
1296.0,35.5639074074,53.9333333333
1297.0,38.8073518519,57.6791666667
1298.0,50.1275324074,56.2791666667
1299.0,45.5007361111,46.675
1300.0,39.6972962963,48.4666666667
1301.0,44.5174768519,54.0833333333
1302.0,48.8545972222,56.4333333333
1303.0,47.2931851852,49.9958333333
1304.0,37.6020972222,45.5708333333
1305.0,42.8821481481,39.4125
1306.0,37.667587963,32.1
1307.0,42.0110740741,23.1458333333
1308.0,30.5402777778,24.3
1309.0,26.9325462963,28.6208333333
1310.0,25.7816574074,35.9666666667
1311.0,32.1997083333,15.5486111111
1312.0,26.9576666667,38.6041666667
1313.0,31.042632716,38.6680555556
1314.0,45.1281111111,48.7041666667
1315.0,23.5643333333,39.3388888889
1316.0,46.7359659938,51.3541666667
1317.0,40.5992546185,41.825
1318.0,42.7257546074,39.9083333333
1319.0,35.1477083333,23.0569444444
1320.0,29.8596944444,28.4541666667
1321.0,26.4976574074,18.3708333333
1322.0,31.3451435185,15.8041666667
1323.0,15.2565462963,7.25555555556
1324.0,19.581316358,14.0166666667
1325.0,17.0566118827,19.5625
1326.0,27.7377037037,17.8291666667
1327.0,12.766759262,9.87083333333
1328.0,18.3722314815,38.8625
1329.0,42.9365061673,30.9958333333
1330.0,25.3797337963,41.6083333333
1331.0,22.8278858025,16.9625
1332.0,35.8258611111,24.0083333333
1333.0,25.1231990741,28.6916666667
1334.0,39.9398981481,21.5625
1335.0,14.6858148148,11.6
1336.0,24.2046018519,11.2583333333
1337.0,15.5148132716,16.4916666667
1338.0,20.9393263889,13.0333333333
1339.0,11.8269722222,5.23055555556
1340.0,12.1329583333,28.6291666667
1341.0,32.9796342593,26.6125
1342.0,29.6041712963,50.4666666667
1343.0,40.7749953704,52.6777777778
1344.0,48.1867237377,60.0166666667
1345.0,41.5666666667,63.4541666667
1346.0,46.4939768519,60.8916666667
1347.0,43.5684444444,25.2083333333
1348.0,32.1914212963,47.1791666667
1349.0,39.24925,33.8833333333
1350.0,40.2691203648,38.7
1351.0,24.962742284,16.425
1352.0,27.5779861111,40.5583333333
1353.0,31.5979490741,25.925
1354.0,37.3167037037,20.0583333333
1355.0,14.4238796296,6.17638888889
1356.0,20.3902839506,19.8875
1357.0,22.7597615741,26.5458333333
1358.0,25.6451018519,18.3208333333
1359.0,11.7024861125,5.275
1360.0,17.5423194444,15.4291666667
1361.0,22.7408680556,17.0791666667
1362.0,25.4100231481,14.3916666667
1363.0,12.0844907407,11.3875
1364.0,27.5622546296,8.38333333333
1365.0,20.9536805556,13.1166666667
1366.0,15.5309212963,40.1166666667
1367.0,27.435341821,42.45
1368.0,34.8209166667,44.7833333333
1369.0,22.9898935185,53.2916666667
1370.0,51.6359613253,61.8
1371.0,43.2725416667,50.2333333333
1372.0,36.0949074074,71.7833333333
1373.0,45.1296342593,59.0666666667
1374.0,47.114787037,41.275
1375.0,29.316537037,23.4833333333
1376.0,25.9981157407,39.8833333333
1377.0,26.3092314815,48.6583333333
1378.0,44.291074063,57.4333333333
1379.0,37.412412037,36.5166666667
1380.0,45.9330786926,41.1083333333
1381.0,36.7504398148,45.7
1382.0,46.3276990741,43.9666666667
1383.0,35.1592222222,42.2333333333
1384.0,39.7991249833,61.6666666667
1385.0,45.341787037,50.4666666667
1386.0,40.111537037,37.45
1387.0,31.9101527778,21.0333333333
1388.0,23.4826203704,23.3333333333
1389.0,22.1643055556,25.5166666667
1390.0,27.5843287037,27.7
1391.0,18.2155787037,13.9333333333
1392.0,23.166412037,29.6
1393.0,31.8548472222,45.2666666667
1394.0,44.923212963,29.1
1395.0,18.9973001543,45.275
1396.0,40.0257854549,61.45
1397.0,55.3081851574,51.5333333333
1398.0,34.8384907407,34.4
1399.0,36.8712129574,22.53125
1400.0,23.5544212963,10.6625
1401.0,18.5540972222,14.0833333333
1402.0,15.7693966049,19.7416666667
1403.0,21.3318842593,8.70555555556
1404.0,9.70857638889,28.7
1405.0,31.5986342593,30.6625
1406.0,36.7714344025,21.1791666667
1407.0,13.4824861111,27.1041666667
1408.0,32.3627407407,33.0291666667
1409.0,41.6825601852,23.9875
1410.0,21.2723773148,19.6625
1411.0,29.7108148148,14.2479166667
1412.0,19.05725,8.83333333333
1413.0,16.842349537,12.8833333333
1414.0,12.1802121914,14.8583333333
1415.0,18.737712963,1.7625
1416.0,10.5205902778,14.6916666667
1417.0,19.7219421296,25.0791666667
1418.0,32.1393935185,41.5708333333
1419.0,29.3490524691,14.5625
1420.0,32.1465277778,19.9041666667
1421.0,25.2739351852,15.9041666667
1422.0,26.9332361111,10.5625
1423.0,9.93017283951,8.64583333333
1424.0,20.5291759259,35.6416666667
1425.0,33.3792638889,56.9666666667
1426.0,39.4779444444,65.4125
1427.0,37.0721296296,56.5444444444
1428.0,49.7463564648,52.2666666667
1429.0,42.7054212963,29.3375
1430.0,33.85575,28.4958333333
1431.0,20.7384675926,20.6097222222
1432.0,27.7966990741,20.7416666667
1433.0,22.747507716,20.4791666667
1434.0,31.1600648148,38.925
1435.0,32.5693410494,43.0513888889
1436.0,40.2584197531,52.0416666667
1437.0,37.3938179012,68.4875
1438.0,48.2710046296,67.8083333333
1439.0,46.8061851852,39.2597222222
1440.0,35.3801111111,37.5666666667
1441.0,37.11675,32.6541666667
1442.0,37.8243703704,41.7958333333
1443.0,34.0107685074,18.9041666667
1444.0,28.7475694444,11.5041666667
1445.0,16.5263333333,17.6041666667
1446.0,19.633412037,50.9375
1447.0,32.6334166667,25.9152777778
1448.0,18.5897222222,11.6583333333
1449.0,19.5247777778,15.9916666667
1450.0,25.0856666667,19.4541666667
1451.0,20.4552314815,10.9263888889
1452.0,8.92227314815,10.0541666667
1453.0,20.5992546296,9.40833333333
1454.0,15.0760185185,11.7083333333
