index,predicted_value,actual_value
1166.0,128.009409453,315.75833375
1167.0,164.90552691,232.90833125
1168.0,89.6953194444,47.0291666667
1169.0,59.9764352491,166.537500417
1170.0,58.8586867826,109.55416625
1171.0,59.7703470778,59.5083333333
1172.0,40.5586250236,36.6166666667
1173.0,41.7260972861,27.0583333333
1174.0,21.8664305639,9.2375
1175.0,23.4808333361,26.5208333333
1176.0,32.8871898148,26.9
1177.0,20.8758507792,127.8333325
1178.0,87.7604931431,48.125
1179.0,75.3576977531,77.85833375
1180.0,71.9852568722,28.0708333333
1181.0,35.2316249694,22.9416666667
1182.0,26.3042083458,11.9208333333
1183.0,30.2029027736,42.0916666667
1184.0,36.8103055278,41.1
1185.0,30.1492083361,44.1458333333
1186.0,49.4676404738,37.3916666667
1187.0,67.9763889028,76.62083375
1188.0,53.2611389139,31.1958333333
1189.0,36.5858981106,20.7416666667
1190.0,33.2919027653,19.1833333333
1191.0,22.320236125,39.1333333333
1192.0,35.4625555556,21.8375
1193.0,35.4693333333,38.0
1194.0,34.9868425926,18.2833333333
1195.0,33.4016388833,19.8958333333
1196.0,23.8798611083,17.2708333333
1197.0,22.1461805944,17.575
1198.0,21.5276527778,10.6291666667
1199.0,18.440125,12.7833333333
1200.0,11.6794166667,14.525
1201.0,13.7325208333,29.2625
1202.0,22.7841805556,14.5625
1203.0,37.5993750611,36.2375
1204.0,40.8272916681,27.3625
1205.0,23.8121805722,38.4458333333
1206.0,32.5372222222,9.77083333333
1207.0,19.4220324102,31.1125
1208.0,32.3832962963,38.4583333333
1209.0,27.8031435338,61.5291666667
1210.0,45.2206387931,90.5458329167
1211.0,43.5712824824,214.262500417
1212.0,76.7288888806,34.7416666667
1213.0,57.8398749597,77.4125
1214.0,36.2858610931,56.3708333333
1215.0,43.4907360458,89.00416625
1216.0,36.086675937,54.975
1217.0,30.9371805861,70.7
1218.0,48.1394861014,80.9291666667
1219.0,68.7802360625,104.92499875
1220.0,54.9577545463,62.9999991667
1221.0,41.6475277444,296.920832917
1222.0,171.077874037,45.8375
1223.0,62.9584599349,36.55
1224.0,58.9609892503,25.9666666667
1225.0,21.0378194472,48.6041666667
1226.0,43.36233719,27.6875
1227.0,31.7698086017,27.9458333333
1228.0,22.5789552596,27.2625
1229.0,26.9122368443,53.3
1230.0,35.1854112099,30.0416666667
1231.0,48.4081249528,134.412500417
1232.0,135.453840201,95.8791666667
1233.0,74.7529304389,120.579167083
1234.0,80.9512218778,159.308333333
1235.0,67.5215416847,116.441667083
1236.0,50.1151527306,36.8333333333
1237.0,56.8697916458,19.1458333333
1238.0,30.1123472111,7.82916666667
1239.0,19.6896805556,23.9916666667
1240.0,32.8369166722,28.7791666667
1241.0,28.7346666667,35.3291666667
1242.0,24.8603703704,22.1458333333
1243.0,28.6318611028,30.8291666667
1244.0,32.4121157407,30.2
1245.0,35.7054861167,29.4333333333
1246.0,27.4578472222,38.5
1247.0,27.6326203704,32.275
1248.0,45.4153055542,26.05
1249.0,25.3420277528,17.7708333333
1250.0,30.6414861097,15.6333333333
1251.0,27.3373471917,39.8333333333
1252.0,35.9138333347,25.3958333333
1253.0,40.1892639556,42.95
1254.0,42.073375,19.9583333333
1255.0,26.3969999958,15.5458333333
1256.0,27.363388875,23.3916666667
1257.0,21.2572222222,43.1625
1258.0,37.4277500028,23.9375
1259.0,23.4459722222,49.3333333333
1260.0,46.3149074074,37.3541666667
1261.0,69.2168239866,35.025
1262.0,43.0283749736,18.7833333333
1263.0,36.0722499736,39.8375
1264.0,37.1559027778,36.6083333333
1265.0,45.1131527722,52.3875
1266.0,28.2188194444,20.6833333333
1267.0,25.757462963,37.5625
1268.0,29.605875,42.0
1269.0,41.0306805417,102.0208325
1270.0,73.4815324477,76.0250004167
1271.0,38.8730555444,86.8041658333
1272.0,35.5075138778,51.6583333333
1273.0,44.7460418097,38.0958333333
1274.0,52.251976888,19.6041666667
1275.0,33.1141666542,56.4208333333
1276.0,28.8739721917,50.2833333333
1277.0,29.6470895062,33.325
1278.0,63.4275415722,28.0291666667
1279.0,27.4703194431,42.55
1280.0,37.4173981481,51.4583333333
1281.0,40.4517221,62.7125
1282.0,50.4674998528,46.2041666667
1283.0,54.5992099974,32.8125
1284.0,65.4857929404,28.6333333333
1285.0,31.4879444431,24.1
1286.0,31.508037037,10.3791666667
1287.0,20.936,22.9
1288.0,14.6592222222,20.1666666667
1289.0,29.3511597139,20.6
1290.0,20.2916111111,7.39583333333
1291.0,16.9063194444,19.0791666667
1292.0,26.458837963,30.7625
1293.0,21.2720277778,42.4458333333
1294.0,35.4426666861,43.625
1295.0,82.6873628877,60.9458333333
1296.0,35.7006387347,46.9916666667
1297.0,28.1021358122,166.9083325
1298.0,58.8586867826,122.975000417
1299.0,62.7323888056,131.187499167
1300.0,53.5883610778,189.920833333
1301.0,59.9050277792,148.49999875
1302.0,71.2100277819,66.4125
1303.0,50.4808889056,102.699999583
1304.0,80.9551946306,68.5708333333
1305.0,51.7002360931,71.6916666667
1306.0,49.5886527556,65.75
1307.0,54.1857360931,64.4083333333
